YEAR,MONTH,MONTH_CATEGORY,WEEK,DAY_CATEGORY,AGE_BUCKET,GENDER,RACE,PROVINCE,TOTAL_RECORDS,TOTAL_VIEWTIME_MINUTES,TOTAL_VIEWTIME_HOURS,AVG_VIEWTIME_MINUTES,AVG_VIEWTIME_HOURS
2016,Feb,Normal_month,5,Weekday,Adolescence,male,None,Gauteng,1,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Adolescence,male,black,Gauteng,1,6,0.1,6,0.1
2016,Feb,Normal_month,5,Weekday,Adolescence,male,black,KwazuluNatal,1,6,0.1,6,0.1
2016,Feb,Normal_month,5,Weekday,Adolescence,male,black,Limpopo,1,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Adolescence,male,white,Gauteng,4,1,0.02,0.25,0
2016,Feb,Normal_month,5,Weekday,Adolescence,male,white,KwazuluNatal,1,1,0.02,1,0.02
2016,Feb,Normal_month,5,Weekday,Adolescence,male,white,WesternCape,2,3,0.05,1.5,0.03
2016,Feb,Normal_month,5,Weekday,Childhood,None,None,None,2,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Eldest,female,white,WesternCape,2,4,0.07,2,0.03
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,female,None,FreeState,1,2,0.03,2,0.03
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,female,None,WesternCape,2,20,0.33,10,0.17
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,female,black,EasternCape,1,9,0.15,9,0.15
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,female,black,Gauteng,6,52,0.87,8.67,0.14
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,female,black,Mpumalanga,1,1,0.02,1,0.02
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,female,black,NorthWest,1,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,female,coloured,WesternCape,4,15,0.25,3.75,0.06
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,None,Gauteng,2,1,0.02,0.5,0.01
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,None,KwazuluNatal,3,7,0.12,2.33,0.04
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,None,Limpopo,1,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,None,Mpumalanga,2,457,7.62,228.5,3.81
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,black,EasternCape,10,32,0.53,3.2,0.05
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,black,FreeState,2,25,0.42,12.5,0.21
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,black,Gauteng,26,154,2.57,5.92,0.1
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,black,KwazuluNatal,4,14,0.23,3.5,0.06
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,black,Limpopo,1,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,black,Mpumalanga,5,10,0.17,2,0.03
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,black,NorthWest,3,5,0.08,1.67,0.03
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,black,WesternCape,2,17,0.28,8.5,0.14
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,coloured,EasternCape,2,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,coloured,FreeState,1,3,0.05,3,0.05
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,coloured,Gauteng,3,6,0.1,2,0.03
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,coloured,NorthernCape,1,6,0.1,6,0.1
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,coloured,WesternCape,9,41,0.68,4.56,0.08
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,indian_asian,Gauteng,4,103,1.72,25.75,0.43
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,indian_asian,KwazuluNatal,2,1,0.02,0.5,0.01
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,indian_asian,Limpopo,2,27,0.45,13.5,0.23
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,other,Gauteng,2,3,0.05,1.5,0.03
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,white,FreeState,1,1,0.02,1,0.02
2016,Feb,Normal_month,5,Weekday,Middle Adulthood,male,white,Gauteng,3,3,0.05,1,0.02
2016,Feb,Normal_month,5,Weekday,Middle Childhood,female,white,EasternCape,2,2,0.03,1,0.02
2016,Feb,Normal_month,5,Weekday,Middle Childhood,male,None,WesternCape,1,14,0.23,14,0.23
